UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,FAXTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,F1SYSCOD,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE
100858,Auburn University,"Auburn, Alabama",Auburn University,AL,36849,1,5,Jay Gogue,President,3348444000, ,636000724,100900,1,www.auburn.edu,www.auburn.edu/admissions/,www.auburn.edu/administration/business_office/finaid/,www.auburn.edu/admissions/,www.auburn.edu/admissions/money-matters.html,1,1,1,9,1,1,11,1,2,2,1,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,14,14,13,4,15,15,1,5,12220,1,194,-2,1,Auburn University,101040,1081,Lee County,103,-85.492409,32.600201
100937,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254,1,5,General Charles Krulak,President,2052264600,2052263069,630708730,101200,1,www.bsc.edu/,www.bsc.edu/admission/index.cfm,www.bsc.edu/fa/index.cfm,www.bsc.edu/admission/apply.cfm,www.bsc.edu/fp/np-calculator.cfm,2,1,2,5,1,2,30,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,21,7,2,12,3,11,31,2,2,13820,1,142,-2,2, ,-2,1073,Jefferson County,107,-86.853636,33.515453
101028,Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,36869,1,5,Dr. Glen Cannon,President,3342914900,3342144834,630657380,1218200,1,www.cv.edu,www.cv.edu/?page_id=252,www.cv.edu/?page_id=142,www.cv.edu/wp-content/uploads/2011/12/admission_app.pdf,external.cv.edu/npc/npcalc.htm,4,2,1,3,1,2,40,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,CVCC,4,2,1,-1,2,1,2,40,2,2,17980,1,194,-2,1,Alabama Community College System,101030,1113,Russell County,103,-85.031485,32.42391
101073,Concordia College Alabama,1712 Broad Street,Selma,AL,36701,1,5,Dr. Tilahun M.Mendedo,President,3348745700,3348745755,630389941,1055400,1,www.ccal.edu/,www.ccal.edu/?q=admissions,www.ccal.edu/?q=financial-aid,www.ccal.edu/sites/default/files/admissions/admissions-home/application-admission-2012-2012.pdf,www.ccal.edu/netprice/netprice/,2,1,2,5,1,2,30,1,1,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,CCA,2,22,15,-1,9,2,8,33,2,1,42820,2,-2,-2,2, ,-2,1047,Dallas County,107,-87.023531,32.42443
101116,South University-Montgomery,5355 Vaughn Rd,Montgomery,AL,36116,1,5,Victor Biebighauser,President,3343958800, ,261569113,1303906,1,southuniversity.edu,southuniversity.edu,southuniversity.edu,southuniversity.edu,tcc.noellevitz.com/edmc/Transfer-Students?iframe=true&width=600&height=1000,3,1,3,7,1,1,20,1,2,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,23,2,11,5,3,6,40,2,1,33860,1,-2,-2,1,Education Management Corporation,301790,1101,Montgomery County,102,-86.216488,32.342684
101143,Enterprise State Community College,600 Plaza Drive,Enterprise,AL,36330-1300,1,5,"Nancy Chandler, Ed.D.",President,3343472623,3343936223,630504851,101500,1,www.escc.edu,www.escc.edu,www.escc.edu,https://grace.escc.edu/cgi-bin/admonline.mbr/login,www.escc.edu/NetPrice/npcalc.htm,4,2,1,3,1,2,40,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,Enterprise-Ozark Community College  |Enterprise State Junior College,4,2,1,-1,3,1,3,40,2,2,21460,2,222,-2,1,Alabama Community College System,101030,1031,Coffee County,102,-85.836956,31.297496
101161,James H Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,1,5,Gary Branch,President,2515802100,2515802253,630501805,106000,1,www.faulknerstate.edu, , , ,www.faulknerstate.edu,4,2,1,3,1,2,40,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1, ,4,5,1,-1,3,1,3,40,2,2,19300,1,380,-2,1,Alabama Community College System,101030,1003,Baldwin County,101,-87.779758,30.852045
101189,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,36109-3378,1,5,Billy D Hilyer,President,3342725820,3343867244,630329409,100300,1,www.faulkner.edu,www.faulkner.edu/admissions/,www.faulkner.edu/finaid/default.aspx,https://secure.faulkner.edu/profile/tradApp/default.aspx,www.faulkner.edu/netprice/,2,1,2,9,1,1,13,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,Faulkner,2,22,16,8,7,4,9,32,2,2,33860,1,-2,-2,2, ,-2,1101,Montgomery County,102,-86.21641,32.384181
101240,Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,35903,1,5,Dr. William O. Blow,Acting President,2565498200,2564396812,630501425,101700,1,www.gadsdenstate.edu,www.gadsdenstate.edu/faculty-and-staff/admissions.php,www.gadsdenstate.edu/current-students/financial-aid/index.php,https://ssb.gadsdenstate.edu/PROD/bwskalog.P_DispLoginNon,www.gadsdenstate.edu/netpricecalculator/,4,2,1,3,1,2,40,1,1,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,GSCC | Gadsden State | Gadsden Community College,4,3,1,-1,3,1,4,40,2,3,23460,1,-2,-2,1,Alabama Community College System,101030,1055,Etowah County,104,-85.991299,33.991866
101277,New Beginning College of Cosmetology,421 Martling Road,Albertville,AL,35951,1,5,KELLY BALL,DIRECTOR,2568786430, ,202711032,4187200,1,www.nbccosmetology.com, , , ,www.nbccosmetology.com/npcalc.htm,9,3,3,2,1,2,0,2,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,2, ,6,-3,-3,-3,-3,-3,-3,-3,2,1,10700,2,290,-2,2, ,-2,1095,Marshall County,104,-86.196979,34.278124
101286,George C Wallace State Community College-Dothan,1141 Wallace Drive,Dothan,AL,36303-9234,1,5,Linda C Young,President,3349833521,3346870255,630507618,101800,1,www.wallace.edu,www.wallace.edu/admissions.aspx,www.wallace.edu/financial_aid.aspx,www.wallace.edu/admissions/online_application.aspx,www.wallace.edu/net_price_calculator.aspx,4,2,1,3,1,2,40,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,WALLACE DOTHAN|WCCD,4,2,1,-1,2,1,3,40,2,2,37120,2,222,-2,1,Alabama Community College System,101030,1045,Dale County,102,-85.46355,31.316086
101295,George C Wallace State Community College-Hanceville,801 Main St NW,Hanceville,AL,35077-2000,1,5,Vicki Hawsey,President,2563528000,2563528228,630498828,787100,1,www.wallacestate.edu,www.wallacestate.edu/Admissions/index,www.wallacestate.edu/Financial-Aid/index,www.wallacestate.edu/Admissions/Apply-Online/index,www.wallacestate.edu/Financial-Aid/Net-Price-Calculator/index,4,2,1,3,1,2,40,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,Wallace State Community College |Wallace State - Hanceville,4,2,1,-1,2,1,3,40,2,3,18980,2,142,-2,1,Alabama Community College System,101030,1043,Cullman County,104,-86.781745,34.07341
101301,George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,AL,36703-2808,1,5,Dr. James M. Mitchell,President,3348769227,3348769300,630600375,569900,1,www.wccs.edu,www.wccs.edu,www.wccs.edu,www.wccs.edu,www.wccs.edu/index.php?page=npc.html,4,2,1,3,1,2,40,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,Wallace Community College - Selma,4,2,1,-1,3,1,2,40,2,2,42820,2,-2,-2,1,Alabama Community College System,101030,1047,Dallas County,107,-87.01324,32.445611
101365,Herzing University-Birmingham,280 West Valley Ave,Birmingham,AL,35209,1,5,Tommy Dennis,President,2059162800,2059162807,391040865,962107,1,www.herzing.edu/birmingham,www.herzing.edu/birmingham,www.herzing.edu/birmingham,www.herzing.edu/birmingham,www.herzing.edu/financial-aid/net-price-calculator,3,1,3,5,1,2,30,1,2,-2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1, ,3,22,15,-1,5,2,6,40,2,1,13820,1,142,-2,1,Herzing Inc.,302280,1073,Jefferson County,107,-86.832299,33.468105
101435,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,36106-2148,1,5,J. Cameron West,President,3348334222,3348334347,630288841,101900,1,www.huntingdon.edu,www.huntingdon.edu/futureStudentsMain.aspx?id=1582,www.huntingdon.edu/futureStudents.aspx?id=1702,www.huntingdon.edu/futureStudentForm.aspx?ekfrm=4062,hawk.huntingdon.edu/oiac/netpricecalculator/npcalc.htm,2,1,2,5,1,2,30,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,22,9,-1,11,2,7,31,2,2,33860,1,-2,-2,2, ,-2,1101,Montgomery County,102,-86.285313,32.350939
101453,Heritage Christian University,3625 Helton Dr,Florence,AL,35630-9977,1,5,Dennis Jones,President,2567666610,2567600981,237013287,2199700,1,www.hcu.edu,www.hcu.edu/admissions,www.hcu.edu/financialaid,www.hcu.edu/admissions/applynow,www.hcu.edu/share/news/npcalc.htm,2,1,2,7,1,1,20,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,2,24,-2,-2,-2,5,-2,51,2,1,22520,1,-2,-2,2, ,-2,1077,Lauderdale County,105,-87.662062,34.859089
101462,J F Drake State Community and Technical College,3421 Meridian St N,Huntsville,AL,35811,1,5,Helen T. McAlpine Ed.D.,President,2565398161,2565513142,631002142,526000,1,www.drakestate.edu,www.drakestate.edu/admissions.aspx,www.drakestate.edu/admissions/financial_aid.aspx,www.drakestate.edu/admissions/admissions_application.aspx,www.drakestate.edu/admissions/net_price_calculator.aspx,4,2,1,3,1,2,40,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,Drake State,4,1,1,-1,2,1,2,40,2,2,26620,1,290,-2,1,Alabama Community College System,101030,1089,Madison County,105,-86.573817,34.772116
101471,J F Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,1,5,Hank Dasinger,President,3.34286E+13,3345144050,630506768,3002500,5,www.istc.edu, , , ,nces.ed.gov/ipeds/netpricecalculator/Npc_2.aspx,4,2,1,3,1,2,40,1,2,2,2,2,21,0,A ,-2,-2,-2,1,1,2,6,1,ISTC,4,1,1,-1,3,1,2,40,2,1,33860,1,-2,-2,1,Alabama Community College System,101030,1051,Elmore County,102,-86.392369,32.582312
101480,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,36265,1,5,William Meehan,President,2567825781,2567828146,636001099,102000,1,www.jsu.edu/,www.jsu.edu/admissions/,www.jsu.edu/finaid/,www.jsu.edu/admissions/forms.html,www.jsu.edu/finaid/,1,1,1,9,1,1,12,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,13,4,6,3,12,21,2,3,11500,1,-2,-2,2, ,-2,1015,Calhoun County,103,-85.766644,33.822128
101499,Jefferson Davis Community College,220 Alco Dr,Brewton,AL,36426,1,5,Dr. Daniel A. Bain,President,2518674832,2518091548,630502384,102100,1,www.jdcc.edu,www.jdcc.edu/admissions/,www.jdcc.edu/finaid/,www.jdcc.edu/applyonline/,www.jdcc.edu/netpricecalculator/,4,2,1,3,1,2,40,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,JDCC,4,1,1,-1,2,1,2,40,2,2,-2,-2,-2,-2,1,Alabama Community College System,101030,1053,Escambia County,101,-87.085829,31.101995
101505,Jefferson State Community College,2601 Carson Rd,Birmingham,AL,35215-3098,1,5,Dr. Judy Merritt,President,2058531200,2058567928,630501357,102200,1,www.jeffstateonline.com,www.jeffstateonline.com/enroll,www.jeffstateonline.com/financial/,www.jeffstateonline.com/enroll/become/application-instructions/,www.jeffstateonline.com/financial/tuition/net-price-calculator/,4,2,1,3,1,2,40,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,Jeff State | JSCC | Jefferson State,4,7,1,-1,1,1,4,40,2,3,13820,1,142,-2,1,Alabama Community College System,101030,1073,Jefferson County,106,-86.707387,33.652439
101514,John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,35671,1,5,Dr. Marilyn C. Beck,President,2563062500,2563062877,630505871,101300,1,www.calhoun.edu,www.calhoun.edu/admissions.aspx,www.calhoun.edu/student_services/student_financial_services.aspx,banssb.calhoun.edu/PROD/twbkwbis.P_GenMenu?name=homepage,calhoun.studentaidcalculator.com/,4,2,1,3,1,2,40,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,Calhoun Community College,4,3,1,-1,2,1,4,40,2,4,26620,1,290,-2,1,Alabama Community College System,101030,1083,Limestone County,105,-86.949131,34.65428
101541,Judson College,302 Bibb St,Marion,AL,36756,1,5,David E Potts,President,3346835100,3346835147,630288850,102300,1,www.judson.edu,www.judson.edu,www.judson.edu,www.judson.edu,www.judson.edu,2,1,2,5,1,2,30,1,2,2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,1, ,2,21,3,-1,8,2,7,31,2,1,-2,-2,-2,-2,2, ,-2,1105,Perry County,107,-87.316127,32.630526
101569,Lawson State Community College-Birmingham Campus,3060 Wilson Rd SW,Birmingham,AL,35221-1717,1,5,Perry W Ward,President,2059252515,2059231649,630641064,105900,1,www.lawsonstate.edu,www.lawsonstate.edu/Admissions/index.html,www.lawsonstate.edu/FinancialAid/index.html,www.lawsonstate.edu/Admissions/instructions.html,www.lawsonstate.edu/financialaid/npc/npcalc.htm,4,2,1,3,1,2,40,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,4,7,1,-1,2,1,3,40,2,2,13820,1,142,-2,1,Alabama Community College System,101030,1073,Jefferson County,107,-86.890234,33.451673
101587,University of West Alabama,Station One,Livingston,AL,35470,1,5,Dr. Richard Holland,President,2056523400,2056523708,636001100,102400,1,www.uwa.edu,www.uwa.edu/Admissions/,www.uwa.edu/financial_aid.aspx,www.uwa.edu/apply_now.aspx,secure.uwa.edu/calculator/npcalc.htm,1,1,1,8,1,1,20,1,2,2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,10,1,8,5,13,21,2,2,-2,-2,-2,-2,2, ,-2,1119,Sumter County,107,-88.186077,32.59244
101602,Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,36420-1418,1,5,"Herbert H. J. Riedel, Ph.D.",President,3342226591,3348812300,630576487,898800,1,www.lbwcc.edu,www.lbwcc.edu/student_services/admissions.aspx,www.lbwcc.edu/financial_aid.aspx,www.lbwcc.edu/Uploads/users/589/files/LBWCC_Application_Layout%201.pdf,www.lbwcc.edu/financial_aid/2010-2011_net_price_calculator.aspx,4,2,1,3,1,2,40,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,Lurleen B. Wallace Community College |LBW Community College |LBWCC,4,1,1,-1,3,1,2,40,2,2,-2,-2,-2,-2,1,Alabama Community College System,101030,1039,Covington County,102,-86.452262,31.322947
101648,Marion Military Institute,1101 Washington St,Marion,AL,36756-3207,1,5,Col David J. Mollahan,President,8006641842,3346832383,630288853,102600,1,www.marionmilitary.edu,www.marionmilitary.edu/admissions/index.da,marionmilitary.edu/admissions/admissions-financial.da,marionmilitary.edu/admissions/admissions-apply.da,www.marionmilitary.edu/admissions/netcalc/npcalc.htm,4,2,1,3,1,2,40,1,2,2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,1, ,4,1,1,-1,4,1,1,40,2,1,-2,-2,-2,-2,1,Alabama Community College System,101030,1105,Perry County,107,-87.317998,32.622359
101675,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064-2621,1,5,"George T. French, Jr.",President,2.05929E+13,2059291426,630400608,102800,1,www.miles.edu,miles.edu,miles.edu,miles.edu,miles.edu,2,1,2,5,1,2,30,1,1,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1, ,2,22,15,-1,9,2,10,32,2,2,13820,1,142,-2,2, ,-2,1073,Jefferson County,107,-86.908605,33.481306
101693,University of Mobile,5735 College Parkway Drive,Mobile,AL,36613-2842,1,5,Mark Foley,President,2516755990,2514422523,630417508,102900,1,www.umobile.edu,www.umobile.edu/admissions/,www.umobile.edu/financialaid/,www.umobile.edu/Admissions/Undergraduate/ApplyNow.aspx,tcc.noellevitz.com/(S(i2ma5wzihnqpsazmq43fszpq))/University%20of%20Mobile/Freshman-Students,2,1,2,7,1,1,20,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1, ,2,22,10,6,11,3,10,21,2,2,33660,1,380,-2,2, ,-2,1097,Mobile County,101,-88.128934,30.793247
101709,University of Montevallo,Station 6001,Montevallo,AL,35115-6000,1,5,John W. Stewart III,President,2056656155, ,636000720,100400,1,www.montevallo.edu,www.montevallo.edu/admissions/,www.montevallo.edu/finaid/,www.montevallo.edu/admissions/ApplicationProcess/,www.montevallo.edu/finaid/NetPriceCalculator/,1,1,1,8,1,1,20,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1, ,2,19,10,6,10,4,10,21,2,2,13820,1,142,-2,2, ,-2,1117,Shelby County,106,-86.865099,33.10625
101736,Northwest-Shoals Community College,800 George Wallace Blvd,Muscle Shoals,AL,35661,1,5,Humphrey Lee,President,2563315200,2563315222,630513822,569700,1,www.nwscc.edu,www.nwscc.edu/contactus.html,www.nwscc.edu/financialaid/financialaid.html,www.nwscc.edu/contactus.html,nwscc.edu/financialaid/netpricecalculator/npcalc.htm,4,2,1,3,1,2,40,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,4,2,1,-1,2,1,3,40,2,2,22520,1,-2,-2,1,Alabama Community College System,101030,1033,Colbert County,104,-87.67733,34.739567
101879,University of North Alabama,One Harrison Plaza,Florence,AL,35632-0001,1,5,"Wm. G. Cale, Jr.",President,2567654100,2567654960,636000893,101600,1,www.una.edu,www.una.edu/admission,www.una.edu/sfins,https://www.applyweb.com/aw?una,studentnpc.collegeboard.org/,1,1,1,8,1,1,20,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,13,7,11,4,12,21,2,3,22520,1,-2,-2,2, ,-2,1077,Lauderdale County,105,-87.680999,34.80658
101897,Northeast Alabama Community College,138  Highway 35,Rainsville,AL,35986,1,5,J. David Campbell,President,2.05638E+13,2562286861,630504999,103100,1,www.nacc.edu,www.nacc.edu,www.nacc.edu,www.nacc.edu,www.nacc.edu,4,2,1,3,1,2,40,1,2,2,2,2,42,1,A ,-2,-2,-2,1,1,1,1,1,"Northeast, NACC, Northeast Alabama State Junior College, Northeast Alabama State Community College",4,2,1,-1,2,1,3,40,2,2,42460,2,174,-2,1,Alabama Community College System,101030,1071,Jackson County,105,-85.911664,34.545471
101912,Oakwood University,7000 Adventist Blvd NW,Huntsville,AL,35896,1,5,Leslie Pollard,President,2567267000, ,630366652,103300,1,www.oakwood.edu,www.oakwood.edu/admissions,www.oakwood.edu/services/financial-aid,https://my.oakwood.edu/ics/Admissions/Admissions_Homepage.jnz?portlet=Apply_For_Admissions,www.oakwood.edu/campus-services/financial-aid,2,1,2,7,1,1,20,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,22,9,-1,9,3,11,32,2,2,26620,1,290,-2,2, ,-2,1089,Madison County,105,-86.661628,34.756628
101949,Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,36460,1,5,Reginald Sykes,President,2.51575E+13,2515755356,630503016,103400,1,www.ascc.edu, , , ,www.ascc.edu,4,2,1,3,1,2,40,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1, ,4,1,1,-1,3,1,2,40,2,2,-2,-2,-2,-2,1,Alabama Community College System,101030,1099,Monroe County,101,-87.326352,31.488925
101958,Prince Institute-Southeast,7735 Atlanta Hwy,Montgomery,AL,36117,1,5,Dr. Keith Werosh,"Director, Campus Operations",3342711670,3342711671,364143020,2296000,1,princeinstitute.edu,princeinstitute.edu,princeinstitute.edu,princeinstitute.edu,princeinstitute.edu,6,2,3,3,1,2,40,1,2,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,Prince Institute |Prince Institute of Professional Studies,4,10,1,-1,4,1,1,40,2,1,33860,1,-2,-2,1,Stenograph LLC,304290,1101,Montgomery County,103,-86.162213,32.383091
